Data,Prodotto,Tot
2015-1,insalata,34
2015-1,pane,34
2015-1,cioccolato,33
2015-1,vino,32
2015-1,acqua,31
2015-2,parmiggiano,39
2015-2,pesce,34
2015-2,piadina,34
2015-2,uova,34
2015-2,melanzane,33
2015-3,vino, 33
2015-3,mozzarella,32
2015-3,pesce, 32
2015-3,pomodoro,32
2015-3,piadina,31
2015-4,insalata,36
2015-4,melanzane,35
2015-4,uova,35
2015-4,mozzarella,34
2015-4,pesce,34
2015-5,pane,42
2015-5,mozzarella,37
2015-5,parmiggiano,37
2015-5,melanzane,36
2015-5,formaggio,35
2015-6,pesce,40
2015-6,insalata,37
2015-6,pomodoro,37
2015-6,pane,36
2015-6,piadina,36
2015-7,insalata,38
2015-7,pesce,38
2015-7,birra,36
2015-7,dolce,36
2015-7,pane,36
2015-8,acqua,38
2015-8,mozzarella,36
2015-8,parmiggiano,35
2015-8,pesce,35
2015-8,dolce, 32
2015-9,uova,33
2015-9,dolce,32
2015-9,formaggio,32
2015-9,melanzane,32
2015-9,mozzarella,32 
2015-10,parmiggiano,35
2015-10,cioccolato,31
2015-10,uova,31,
2015-10,acqua,30,
2015-10,formaggio,30
2015-11,latte,29
2015-11,mozzarella,29
2015-11,parmiggiano,29
2015-11,dolce,26
2015-11,pesce,26
2015-12,latte, 31
2015-12,cioccolato,30
2015-12,birra,29
2015-12,melanzane,28
2015-12,uova,28
